12/13 assists,12/13 games,12/13 goals,12/13 minutes,13/14 assists,13/14 games,13/14 goals,13/14 minutes,14/15 assists,14/15 games,14/15 goals,14/15 minutes,15/16 assists,15/16 games,15/16 goals,15/16 minutes,16/17 assists,16/17 games,16/17 goals,16/17 minutes,17/18 assists,17/18 games,17/18 goals,17/18 minutes,age,current club,current league,foot,height,name,nationality,position
,,,,0.0,0.0,0.0,0.0,3.0,8.0,1.0,588.0,2.0,12.0,6.0,922.0,10.0,25.0,11.0,1808.0,0.0,3.0,0.0,30.0,22,Lokomotiv Moscow,Premier Liga,right,169.0,Arshak Koryan,Russia  Armenia,W
5.0,31.0,16.0,2413.0,3.0,16.0,4.0,1064.0,3.0,38.0,14.0,2268.0,4.0,29.0,6.0,1582.0,5.0,37.0,7.0,2842.0,1.0,19.0,3.0,1041.0,30,Lokomotiv Moscow,Premier Liga,both,190.0,Éder,Portugal  Guinea-Bissau,CF
8.0,37.0,6.0,2621.0,3.0,21.0,7.0,1297.0,9.0,38.0,14.0,2451.0,7.0,36.0,6.0,2252.0,8.0,31.0,13.0,2435.0,1.0,5.0,1.0,430.0,32,Lokomotiv Moscow,Premier Liga,both,180.0,Ari,Brazil,CF
9.0,42.0,7.0,3319.0,5.0,31.0,6.0,2365.0,4.0,24.0,7.0,2017.0,2.0,28.0,7.0,2061.0,0.0,12.0,0.0,535.0,5.0,16.0,2.0,835.0,38,Rubin Kazan,Premier Liga,right,168.0,Gökdeniz Karadeniz,Turkey,W
,,,,,,,,,,,,1.0,6.0,2.0,314.0,0.0,26.0,0.0,1395.0,1.0,18.0,3.0,800.0,21,Rubin Kazan,Premier Liga,right,184.0,Rifat Zhemaletdinov,Russia,W
0.0,0.0,0.0,0.0,3.0,17.0,5.0,881.0,1.0,27.0,6.0,1069.0,3.0,24.0,9.0,1276.0,3.0,41.0,12.0,2447.0,4.0,22.0,1.0,1120.0,23,Rubin Kazan,Premier Liga,both,186.0,Sardar Azmoun,Iran,CF
,,,,,,,,,,,,0.0,1.0,0.0,15.0,0.0,1.0,0.0,21.0,0.0,22.0,3.0,1411.0,19,Akhmat Grozny,Premier Liga,right,178.0,Léo Jabá,Brazil,W
2.0,21.0,3.0,1791.0,0.0,30.0,4.0,2478.0,1.0,41.0,7.0,3020.0,11.0,43.0,7.0,3203.0,2.0,27.0,5.0,1513.0,1.0,17.0,0.0,852.0,26,Akhmat Grozny,Premier Liga,right,174.0,Bernard Berisha,Kosovo  Albania,W
0.0,20.0,2.0,470.0,0.0,2.0,0.0,30.0,2.0,14.0,2.0,715.0,2.0,24.0,6.0,1371.0,2.0,25.0,3.0,1346.0,3.0,22.0,1.0,1436.0,25,Akhmat Grozny,Premier Liga,right,178.0,Magomed Mitrishev,Russia,W
1.0,32.0,2.0,891.0,3.0,25.0,1.0,874.0,2.0,22.0,3.0,1422.0,1.0,25.0,2.0,636.0,7.0,21.0,1.0,1167.0,3.0,14.0,0.0,912.0,26,Akhmat Grozny,Premier Liga,right,187.0,Odise Roshi,Albania,W
0.0,0.0,0.0,0.0,0.0,2.0,0.0,49.0,0.0,5.0,0.0,142.0,0.0,5.0,1.0,197.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,44.0,23,Akhmat Grozny,Premier Liga,right,167.0,Khalid Kadyrov,Russia,W
2.0,19.0,4.0,1074.0,5.0,37.0,9.0,1964.0,3.0,31.0,13.0,2224.0,2.0,37.0,10.0,2118.0,0.0,27.0,9.0,2059.0,0.0,8.0,0.0,364.0,27,Akhmat Grozny,Premier Liga,right,188.0,Bekim Balaj,Albania,CF
,,,,,,,,0.0,5.0,4.0,405.0,0.0,22.0,3.0,760.0,2.0,23.0,7.0,866.0,0.0,11.0,2.0,588.0,25,Akhmat Grozny,Premier Liga,right,187.0,Ablaye Mbengue,Senegal,CF
0.0,13.0,1.0,369.0,2.0,22.0,4.0,1275.0,7.0,34.0,9.0,2156.0,0.0,16.0,5.0,653.0,0.0,8.0,2.0,248.0,0.0,15.0,3.0,658.0,28,Akhmat Grozny,Premier Liga,right,182.0,Zaur Sadaev,Russia,CF
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,2.0,28.0,1.0,1841.0,0.0,3.0,0.0,135.0,24,Akhmat Grozny,Premier Liga,right,173.0,Apti Akh'yadov,Russia,CF
5.0,35.0,4.0,3100.0,3.0,14.0,3.0,1230.0,6.0,33.0,12.0,2573.0,4.0,35.0,4.0,2674.0,9.0,36.0,13.0,3076.0,8.0,28.0,4.0,2210.0,26,Dinamo Moscow,Premier Liga,both,183.0,Fedor Chernykh,Lithuania  Russia,W
,,,,,,,,,,,,,,,,0.0,2.0,1.0,104.0,0.0,2.0,0.0,52.0,18,Dinamo Moscow II,Premier Liga,right,188.0,Vyacheslav Grulev,Russia,W
,,,,,,,,,,,,0.0,4.0,0.0,134.0,0.0,7.0,1.0,419.0,1.0,4.0,1.0,216.0,20,Dinamo Moscow,Premier Liga,right,186.0,Anton Terekhov,Russia,W
,,,,,,,,0.0,18.0,5.0,1193.0,4.0,28.0,6.0,1141.0,2.0,23.0,8.0,1125.0,1.0,22.0,9.0,1388.0,23,Dinamo Moscow,Premier Liga,right,187.0,Evgeni Markov,Russia,CF
4.0,32.0,9.0,2624.0,1.0,28.0,4.0,2269.0,1.0,25.0,3.0,1605.0,6.0,27.0,10.0,1956.0,2.0,32.0,7.0,1671.0,2.0,15.0,3.0,999.0,31,Dinamo Moscow,Premier Liga,left,187.0,Evgeni Lutsenko,Russia,CF
,,,,,,,,0.0,0.0,0.0,0.0,0.0,8.0,0.0,154.0,2.0,5.0,3.0,450.0,0.0,8.0,0.0,273.0,21,Dinamo Moscow,Premier Liga,left,186.0,Nikolay Obolskiy,Russia,CF
,,,,,,,,0.0,23.0,4.0,1092.0,2.0,33.0,11.0,2703.0,1.0,26.0,4.0,1232.0,0.0,11.0,2.0,848.0,25,Arsenal Tula,Premier Liga,right,180.0,Evans Kangwa,Zambia,W
7.0,32.0,4.0,1773.0,4.0,31.0,19.0,2774.0,1.0,26.0,8.0,1529.0,12.0,44.0,23.0,3582.0,8.0,34.0,14.0,2818.0,3.0,26.0,3.0,1265.0,29,Arsenal Tula,Premier Liga,right,196.0,Artem Dzyuba,Russia,CF
0.0,10.0,0.0,260.0,3.0,21.0,1.0,761.0,0.0,12.0,6.0,785.0,1.0,28.0,4.0,1177.0,2.0,18.0,3.0,446.0,0.0,21.0,7.0,1556.0,23,Arsenal Tula,Premier Liga,both,185.0,Luka Djordjevic,Montenegro,CF
,,,,0.0,12.0,3.0,677.0,1.0,21.0,3.0,912.0,2.0,9.0,0.0,503.0,0.0,15.0,6.0,923.0,0.0,15.0,0.0,309.0,25,Arsenal Tula,Premier Liga,right,194.0,Federico Rasic,Argentina  Croatia,CF
,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,4.0,0.0,49.0,23,Arsenal Tula II,Premier Liga,right,191.0,Aslanbek Sikoev,Russia,CF
1.0,32.0,4.0,1986.0,2.0,31.0,8.0,2683.0,1.0,26.0,1.0,1490.0,2.0,14.0,4.0,1200.0,0.0,20.0,2.0,1096.0,0.0,16.0,1.0,1078.0,33,Arsenal Tula,Premier Liga,right,180.0,Igor Shevchenko,Russia,CF
3.0,28.0,9.0,2162.0,3.0,30.0,11.0,2648.0,8.0,33.0,10.0,2878.0,1.0,26.0,4.0,2138.0,3.0,26.0,3.0,2213.0,2.0,19.0,6.0,1700.0,27,FK Ufa,Premier Liga,right,173.0,Sly,Nigeria,W
7.0,28.0,9.0,2300.0,2.0,27.0,4.0,1963.0,3.0,12.0,1.0,816.0,1.0,20.0,2.0,877.0,3.0,21.0,1.0,1217.0,2.0,19.0,2.0,925.0,30,FK Ufa,Premier Liga,right,176.0,Dmitri Sysuev,Russia,W
6.0,37.0,16.0,2745.0,3.0,19.0,5.0,859.0,5.0,32.0,14.0,1833.0,5.0,46.0,14.0,2502.0,0.0,25.0,6.0,1507.0,0.0,16.0,0.0,878.0,28,FK Ufa,Premier Liga,right,185.0,Kehinde Fatai,Nigeria  Romania,CF
0.0,3.0,1.0,193.0,0.0,1.0,0.0,90.0,0.0,10.0,3.0,610.0,3.0,30.0,5.0,1928.0,3.0,27.0,0.0,957.0,1.0,13.0,3.0,605.0,25,FK Ufa,Premier Liga,right,183.0,Vyacheslav Krotov,Russia,CF
,,,,,,,,,,,,,,,,1.0,18.0,5.0,654.0,0.0,1.0,0.0,42.0,18,FK Ufa,Premier Liga,right,178.0,Yerkebulan Seydakhmet,Kazakhstan,CF
,,,,,,,,1.0,3.0,0.0,105.0,6.0,38.0,6.0,1882.0,3.0,23.0,0.0,1259.0,3.0,21.0,2.0,956.0,21,FK Rostov,Premier Liga,right,176.0,Aleksandr Zuev,Russia  Kazakhstan,W
12.0,32.0,2.0,2607.0,6.0,24.0,5.0,1684.0,4.0,44.0,13.0,2808.0,4.0,32.0,4.0,2788.0,4.0,29.0,3.0,1824.0,1.0,20.0,2.0,1364.0,29,FK Rostov,Premier Liga,right,177.0,Aleksey Ionov,Russia,W
2.0,41.0,6.0,2535.0,3.0,39.0,5.0,1907.0,1.0,17.0,2.0,1180.0,0.0,29.0,4.0,2130.0,3.0,30.0,17.0,2564.0,0.0,2.0,0.0,180.0,27,FK Rostov,Premier Liga,right,187.0,Björn Sigurdarson,Iceland,CF
,,,,,,,,0.0,4.0,0.0,151.0,0.0,7.0,2.0,535.0,0.0,20.0,2.0,1557.0,0.0,15.0,0.0,400.0,22,FK Rostov,Premier Liga,right,185.0,Eldor Shomurodov,Uzbekistan,CF
2.0,33.0,10.0,1532.0,0.0,20.0,0.0,524.0,1.0,25.0,3.0,1461.0,0.0,21.0,0.0,632.0,,,,,2.0,15.0,1.0,892.0,29,FK Rostov,Premier Liga,right,183.0,Vladimir Dyadyun,Russia,CF
4.0,21.0,7.0,1625.0,1.0,26.0,2.0,1678.0,6.0,42.0,12.0,3178.0,2.0,26.0,2.0,1514.0,4.0,26.0,1.0,2080.0,5.0,17.0,2.0,1505.0,30,Ural Yekaterinburg,Premier Liga,left,175.0,Nikolay Dimitrov,Bulgaria,W
