12/13 assists,12/13 games,12/13 goals,12/13 minutes,13/14 assists,13/14 games,13/14 goals,13/14 minutes,14/15 assists,14/15 games,14/15 goals,14/15 minutes,15/16 assists,15/16 games,15/16 goals,15/16 minutes,16/17 assists,16/17 games,16/17 goals,16/17 minutes,17/18 assists,17/18 games,17/18 goals,17/18 minutes,age,current club,current league,foot,height,name,nationality,position
2.0,27.0,6.0,1988.0,0.0,8.0,0.0,608.0,6.0,17.0,7.0,1412.0,14.0,32.0,3.0,2823.0,7.0,36.0,2.0,2644.0,0.0,15.0,0.0,539.0,34,ADO Den Haag,Eredivisie,right,179.0,Édouard Duplan,France,W
0.0,20.0,7.0,1426.0,3.0,15.0,4.0,818.0,1.0,6.0,1.0,258.0,1.0,18.0,1.0,729.0,0.0,30.0,2.0,1456.0,0.0,18.0,2.0,825.0,23,ADO Den Haag,Eredivisie,right,188.0,Melvyn Lorenzen,Uganda  Germany,W
0.0,10.0,0.0,742.0,2.0,23.0,1.0,1644.0,6.0,29.0,5.0,1777.0,5.0,28.0,4.0,1965.0,3.0,34.0,3.0,2064.0,6.0,24.0,2.0,2056.0,23,ADO Den Haag,Eredivisie,right,180.0,Sheraldo Becker,Netherlands  Suriname,W
4.0,37.0,6.0,2702.0,2.0,28.0,6.0,1658.0,1.0,22.0,2.0,1292.0,3.0,36.0,5.0,2285.0,1.0,10.0,0.0,547.0,2.0,24.0,2.0,1022.0,26,ADO Den Haag,Eredivisie,right,169.0,Elson Hooi,Curacao  Netherlands,W
0.0,2.0,0.0,68.0,,,,,2.0,45.0,22.0,3455.0,2.0,24.0,8.0,1656.0,7.0,37.0,7.0,2161.0,1.0,28.0,10.0,2049.0,26,ADO Den Haag,Eredivisie,right,195.0,Björn Johnsen,Norway  United States,CF
,,,,,,,,,,,,0.0,1.0,0.0,90.0,0.0,21.0,7.0,1662.0,2.0,20.0,7.0,1365.0,18,ADO Den Haag,Eredivisie,both,177.0,Delano Ladan,Netherlands,CF
0.0,8.0,1.0,520.0,4.0,22.0,6.0,1867.0,2.0,25.0,3.0,1484.0,7.0,31.0,4.0,1779.0,4.0,28.0,7.0,1955.0,4.0,30.0,9.0,2279.0,23,Heracles Almelo,Eredivisie,right,180.0,Kristoffer Peterson,Sweden,W
,,,,,,,,,,,,0.0,32.0,2.0,1527.0,2.0,18.0,1.0,1228.0,0.0,5.0,1.0,403.0,20,Heracles Almelo,Eredivisie,right,174.0,Zeki Erkilinc,Netherlands  Turkey,W
5.0,46.0,7.0,2931.0,8.0,40.0,2.0,3099.0,18.0,44.0,9.0,3717.0,3.0,38.0,5.0,2835.0,13.0,38.0,8.0,2871.0,13.0,26.0,5.0,2075.0,25,Heracles Almelo,Eredivisie,left,181.0,Brandley Kuwas,Curacao  Netherlands,W
0.0,27.0,11.0,2046.0,5.0,26.0,6.0,1379.0,4.0,28.0,4.0,1805.0,7.0,47.0,8.0,2930.0,4.0,36.0,3.0,1873.0,5.0,17.0,0.0,1088.0,23,Heracles Almelo,Eredivisie,right,175.0,Brahim Darri,Netherlands  Morocco,W
0.0,16.0,8.0,1153.0,1.0,21.0,10.0,1674.0,4.0,37.0,16.0,2011.0,6.0,38.0,5.0,2861.0,3.0,35.0,1.0,1897.0,2.0,18.0,0.0,963.0,26,Heracles Almelo,Eredivisie,,176.0,Jaroslav Navrátil,Czech Republic,W
0.0,34.0,12.0,2398.0,2.0,41.0,20.0,3502.0,4.0,38.0,15.0,3203.0,6.0,44.0,24.0,2386.0,0.0,8.0,3.0,636.0,1.0,30.0,7.0,1670.0,25,Heracles Almelo,Eredivisie,,188.0,Paul Gladon,Netherlands,CF
0.0,9.0,1.0,433.0,3.0,34.0,11.0,2030.0,6.0,46.0,21.0,3829.0,1.0,41.0,12.0,2807.0,2.0,22.0,6.0,1134.0,1.0,28.0,11.0,1633.0,23,Heracles Almelo,Eredivisie,,196.0,Vincent Vermeij,Netherlands,CF
0.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,164.0,0.0,10.0,4.0,500.0,2.0,23.0,2.0,813.0,0.0,5.0,0.0,362.0,22,Heracles Almelo,Eredivisie,right,177.0,Kai Huisman,Netherlands,CF
,,,,,,,,0.0,8.0,4.0,595.0,0.0,18.0,5.0,1099.0,0.0,13.0,2.0,778.0,4.0,25.0,0.0,1361.0,20,Willem II Tilburg,Eredivisie,right,176.0,Mo El Hankouri,Netherlands  Morocco,W
0.0,11.0,0.0,344.0,1.0,21.0,3.0,905.0,1.0,26.0,7.0,1645.0,1.0,16.0,1.0,793.0,0.0,14.0,1.0,797.0,0.0,8.0,1.0,523.0,24,Willem II Tilburg,Eredivisie,left,184.0,Karim Coulibaly,France  Senegal,W
,,,,,,,,,,,,0.0,3.0,0.0,192.0,,,,,0.0,13.0,2.0,858.0,18,Willem II Tilburg U21,Eredivisie,left,190.0,Kristófer Ingi Kristinsson,Iceland,W
,,,,,,,,1.0,7.0,2.0,378.0,0.0,10.0,1.0,515.0,0.0,1.0,2.0,60.0,5.0,25.0,4.0,1260.0,20,Willem II Tilburg,Eredivisie,right,177.0,Ismail Azzaoui,Belgium  Morocco,W
2.0,9.0,1.0,389.0,1.0,10.0,0.0,359.0,10.0,40.0,6.0,3365.0,9.0,40.0,10.0,3597.0,11.0,35.0,3.0,2710.0,0.0,20.0,2.0,835.0,24,Willem II Tilburg,Eredivisie,left,172.0,Jordy Croux,Belgium,W
,,,,,,,,,,,,0.0,9.0,3.0,624.0,0.0,27.0,1.0,1421.0,,,,,20,Willem II Tilburg,Eredivisie,right,183.0,Asumah Abubakar,Portugal  Ghana,W
0.0,15.0,1.0,523.0,0.0,31.0,7.0,1404.0,0.0,38.0,11.0,2597.0,0.0,37.0,16.0,3096.0,0.0,31.0,10.0,2251.0,4.0,30.0,17.0,2693.0,25,Willem II Tilburg,Eredivisie,,180.0,Fran Sol,Spain,CF
0.0,8.0,1.0,553.0,2.0,9.0,2.0,452.0,3.0,33.0,14.0,2878.0,2.0,21.0,12.0,1672.0,0.0,17.0,3.0,599.0,1.0,21.0,12.0,1530.0,33,Willem II Tilburg,Eredivisie,both,178.0,Bartholomew Ogbeche,Nigeria  France,CF
0.0,7.0,0.0,247.0,0.0,7.0,1.0,259.0,2.0,17.0,5.0,1194.0,1.0,29.0,24.0,2588.0,2.0,33.0,8.0,1964.0,1.0,6.0,3.0,390.0,29,Willem II Tilburg,Eredivisie,left,178.0,Etien Velikonja,Slovenia,CF
,,,,1.0,24.0,0.0,1808.0,11.0,33.0,5.0,2175.0,13.0,44.0,5.0,3064.0,8.0,46.0,6.0,2809.0,0.0,20.0,2.0,955.0,21,Sparta Rotterdam,Eredivisie,right,176.0,Dabney dos Santos,Netherlands  Cape Verde,W
3.0,25.0,3.0,1816.0,2.0,19.0,2.0,941.0,2.0,28.0,6.0,2148.0,1.0,27.0,4.0,2419.0,6.0,30.0,4.0,1406.0,0.0,20.0,2.0,1148.0,26,Sparta Rotterdam,Eredivisie,left,180.0,Craig Goodwin,Australia,W
0.0,2.0,0.0,17.0,0.0,20.0,1.0,1396.0,2.0,32.0,5.0,2300.0,9.0,40.0,13.0,2836.0,15.0,42.0,18.0,3749.0,3.0,18.0,0.0,1365.0,22,Sparta Rotterdam,Eredivisie,right,173.0,Soufyan Ahannach,Netherlands  Morocco,W
0.0,8.0,0.0,169.0,0.0,24.0,6.0,1655.0,0.0,31.0,8.0,1994.0,10.0,37.0,16.0,2991.0,7.0,27.0,8.0,1711.0,3.0,20.0,2.0,1304.0,25,Sparta Rotterdam,Eredivisie,left,178.0,Loris Brogno,Belgium  Italy,W
,,,,,,,,14.0,38.0,8.0,2943.0,17.0,34.0,26.0,2932.0,2.0,29.0,7.0,1872.0,2.0,12.0,1.0,580.0,30,Sparta Rotterdam,Eredivisie,left,180.0,Thomas Verhaar,Netherlands,W
,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,180.0,0.0,12.0,1.0,906.0,6.0,31.0,10.0,2478.0,1.0,12.0,0.0,705.0,21,Sparta Rotterdam,Eredivisie,left,171.0,Ilias Alhaft,Netherlands,W
7.0,37.0,26.0,3197.0,4.0,31.0,9.0,1843.0,3.0,33.0,17.0,2800.0,10.0,40.0,20.0,2968.0,2.0,31.0,7.0,1120.0,2.0,21.0,4.0,1299.0,29,Sparta Rotterdam,Eredivisie,right,196.0,Michiel Kramer,Netherlands,CF
0.0,3.0,0.0,46.0,2.0,19.0,3.0,460.0,4.0,29.0,17.0,2018.0,1.0,14.0,8.0,1260.0,2.0,40.0,11.0,2172.0,1.0,20.0,11.0,1460.0,22,Sparta Rotterdam,Eredivisie,both,187.0,Fred Friday,Nigeria,CF
5.0,41.0,13.0,2170.0,1.0,36.0,27.0,3086.0,6.0,32.0,16.0,2135.0,3.0,44.0,12.0,1824.0,1.0,34.0,15.0,1759.0,5.0,22.0,5.0,1679.0,28,Sparta Rotterdam,Eredivisie,both,187.0,Robert Mühren,Netherlands,CF
1.0,31.0,5.0,1224.0,0.0,20.0,6.0,1139.0,0.0,29.0,3.0,1045.0,0.0,33.0,8.0,2694.0,1.0,21.0,3.0,1199.0,0.0,11.0,3.0,725.0,31,Sparta Rotterdam,Eredivisie,right,192.0,Nick Proschwitz,Germany,CF
,,,,,,,,,,,,0.0,10.0,10.0,900.0,6.0,27.0,16.0,1858.0,0.0,24.0,3.0,867.0,19,Sparta Rotterdam,Eredivisie,,187.0,Ragnar Ache,Germany  Ghana,CF
,,,,,,,,,,,,1.0,17.0,2.0,788.0,5.0,38.0,3.0,1919.0,0.0,13.0,0.0,597.0,21,NAC Breda,Eredivisie,,,Thomas Agyepong,Ghana,W
,,,,,,,,,,,,,,,,1.0,18.0,5.0,1421.0,0.0,12.0,3.0,1049.0,19,NAC Breda,Eredivisie,left,175.0,Diego Snepvangers,Netherlands,W
0.0,29.0,12.0,1854.0,3.0,38.0,17.0,2266.0,0.0,17.0,3.0,1323.0,5.0,30.0,11.0,1543.0,9.0,44.0,11.0,3119.0,2.0,27.0,3.0,1618.0,24,NAC Breda,Eredivisie,right,170.0,Giovanni Korte,Netherlands,W
,,,,,,,,0.0,2.0,0.0,22.0,0.0,4.0,0.0,56.0,7.0,29.0,13.0,2180.0,0.0,22.0,1.0,892.0,19,NAC Breda,Eredivisie,left,167.0,Paolo Fernandes,Spain,W
,,,,,,,,0.0,32.0,27.0,2748.0,8.0,25.0,21.0,1758.0,1.0,7.0,0.0,230.0,3.0,10.0,3.0,560.0,21,NAC Breda,Eredivisie,right,192.0,Umar Sadiq,Nigeria,CF
,,,,2.0,8.0,1.0,258.0,5.0,20.0,10.0,1462.0,1.0,12.0,7.0,973.0,0.0,8.0,5.0,427.0,6.0,27.0,10.0,2146.0,20,NAC Breda,Eredivisie,right,178.0,Thierry Ambrose,France  Guadeloupe,CF
0.0,21.0,10.0,1708.0,1.0,28.0,19.0,1735.0,1.0,35.0,17.0,1827.0,0.0,30.0,11.0,1945.0,1.0,7.0,1.0,421.0,0.0,10.0,3.0,517.0,26,NAC Breda,Eredivisie,right,191.0,Mitchell te Vrede,Netherlands,CF
,,,,,,,,,,,,0.0,3.0,0.0,39.0,1.0,19.0,8.0,1472.0,0.0,19.0,2.0,1022.0,20,NAC Breda,Eredivisie,,184.0,Richelor Sprangers,Haiti  Netherlands,CF
,,,,,,,,,,,,1.0,16.0,4.0,1055.0,8.0,36.0,7.0,1985.0,4.0,26.0,4.0,1433.0,20,Excelsior Rotterdam,Eredivisie,left,182.0,Levi García,Trinidad and Tobago,W
0.0,30.0,9.0,1944.0,1.0,33.0,5.0,2408.0,4.0,33.0,13.0,2655.0,2.0,27.0,4.0,1522.0,0.0,33.0,8.0,2200.0,3.0,18.0,2.0,1423.0,25,Excelsior Rotterdam,Eredivisie,right,172.0,Stanley Elbers,Netherlands  Suriname,W
,,,,0.0,2.0,0.0,23.0,0.0,9.0,1.0,330.0,7.0,31.0,15.0,2181.0,8.0,28.0,3.0,2351.0,0.0,21.0,3.0,1302.0,21,Excelsior Rotterdam,Eredivisie,both,178.0,Jinty Caenepeel,Belgium,W
6.0,35.0,11.0,2719.0,2.0,35.0,10.0,3110.0,2.0,34.0,6.0,2868.0,2.0,28.0,3.0,1496.0,4.0,29.0,4.0,1768.0,4.0,25.0,7.0,1978.0,26,Excelsior Rotterdam,Eredivisie,both,185.0,Mike van Duinen,Netherlands,CF
0.0,0.0,0.0,0.0,0.0,6.0,0.0,451.0,3.0,22.0,15.0,1464.0,0.0,27.0,11.0,1610.0,3.0,24.0,9.0,1915.0,1.0,21.0,5.0,1311.0,21,Excelsior Rotterdam,Eredivisie,right,177.0,Zakaria El Azzouzi,Netherlands  Morocco,CF
2.0,12.0,1.0,687.0,1.0,19.0,3.0,1244.0,3.0,12.0,2.0,519.0,9.0,33.0,3.0,2744.0,11.0,42.0,6.0,3229.0,3.0,26.0,3.0,1236.0,23,Roda JC Kerkrade,Eredivisie,both,186.0,Gyliano van Velzen,Netherlands  Suriname,W
3.0,45.0,11.0,2909.0,7.0,37.0,5.0,2878.0,2.0,34.0,5.0,2149.0,1.0,26.0,2.0,1616.0,5.0,38.0,2.0,2814.0,7.0,29.0,2.0,2446.0,27,Roda JC Kerkrade,Eredivisie,right,176.0,Mikhael Rosheuvel,Netherlands  Suriname,W
3.0,17.0,1.0,1114.0,3.0,31.0,3.0,2417.0,7.0,28.0,2.0,1722.0,0.0,17.0,0.0,785.0,0.0,21.0,3.0,917.0,3.0,22.0,3.0,1238.0,24,Roda JC Kerkrade,Eredivisie,right,184.0,Mario Engels,Germany,W
,,,,,,,,1.0,21.0,6.0,1223.0,0.0,3.0,0.0,15.0,0.0,8.0,2.0,445.0,1.0,5.0,6.0,297.0,22,Roda JC Kerkrade,Eredivisie,right,179.0,Célestin Djim,Belgium  Central African Republic,W
2.0,34.0,8.0,1995.0,0.0,7.0,0.0,367.0,1.0,16.0,0.0,506.0,5.0,25.0,5.0,1836.0,0.0,21.0,3.0,1405.0,4.0,26.0,10.0,2097.0,28,Roda JC Kerkrade,Eredivisie,both,187.0,Dani Schahin,Germany,CF
,,,,,,,,0.0,3.0,1.0,108.0,1.0,7.0,6.0,630.0,0.0,4.0,0.0,242.0,2.0,25.0,5.0,1224.0,19,Roda JC Kerkrade,Eredivisie,,186.0,Jorn Vancamp,Belgium,CF
,,,,,,,,,,,,0.0,23.0,13.0,715.0,0.0,17.0,0.0,462.0,1.0,10.0,1.0,415.0,22,Roda JC Kerkrade,Eredivisie,,191.0,Maecky Ngombo,Belgium  DR Congo,CF
,,,,2.0,30.0,1.0,1096.0,3.0,31.0,4.0,751.0,6.0,38.0,8.0,1642.0,4.0,36.0,6.0,2217.0,3.0,26.0,3.0,1586.0,27,VVV-Venlo,Eredivisie,right,184.0,Torino Hunte,Netherlands  Suriname,W
,,,,,,,,0.0,4.0,0.0,346.0,0.0,15.0,2.0,1162.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,7.0,21,VVV-Venlo,Eredivisie,,175.0,Lugman Bezzat,Netherlands  Morocco,W
0.0,0.0,0.0,0.0,0.0,4.0,0.0,225.0,1.0,44.0,5.0,3118.0,8.0,36.0,14.0,2627.0,3.0,38.0,14.0,3275.0,4.0,27.0,5.0,2147.0,22,VVV-Venlo,Eredivisie,left,179.0,Vito van Crooij,Netherlands,W
0.0,2.0,0.0,38.0,10.0,34.0,6.0,2608.0,1.0,23.0,4.0,1741.0,1.0,31.0,7.0,1941.0,4.0,23.0,4.0,1726.0,1.0,9.0,0.0,377.0,34,VVV-Venlo,Eredivisie,right,170.0,Romeo Castelen,Netherlands  Suriname,W
1.0,24.0,3.0,1590.0,2.0,28.0,4.0,1838.0,3.0,34.0,5.0,2209.0,4.0,31.0,8.0,2548.0,0.0,22.0,3.0,764.0,6.0,29.0,8.0,2526.0,26,VVV-Venlo,Eredivisie,right,184.0,Lennart Thy,Germany,CF
,,,,,,,,,,,,0.0,0.0,0.0,0.0,4.0,20.0,5.0,1192.0,0.0,10.0,2.0,531.0,19,VVV-Venlo,Eredivisie,,190.0,Emil Riis,Denmark,CF
2.0,17.0,1.0,769.0,15.0,38.0,13.0,2910.0,3.0,27.0,9.0,1658.0,7.0,42.0,9.0,2925.0,8.0,37.0,9.0,2597.0,15.0,39.0,12.0,2774.0,22,Manchester City,Premier League,left,184.0,Leroy Sané,Germany  France,W
6.0,38.0,3.0,2385.0,12.0,39.0,11.0,2624.0,10.0,52.0,11.0,4519.0,10.0,47.0,11.0,2981.0,21.0,47.0,10.0,3627.0,10.0,36.0,20.0,2774.0,23,Manchester City,Premier League,right,170.0,Raheem Sterling,England  Jamaica,W
,,,,7.0,41.0,7.0,3024.0,4.0,45.0,10.0,3073.0,3.0,44.0,7.0,3192.0,12.0,58.0,11.0,4296.0,11.0,44.0,7.0,2329.0,23,Manchester City,Premier League,left,173.0,Bernardo Silva,Portugal,W
5.0,40.0,17.0,2716.0,14.0,34.0,28.0,2288.0,9.0,42.0,32.0,3200.0,5.0,44.0,29.0,3523.0,6.0,45.0,33.0,3503.0,7.0,37.0,30.0,2895.0,29,Manchester City,Premier League,right,173.0,Sergio Agüero,Argentina  Spain,CF
,,,,,,,,2.0,20.0,4.0,1302.0,4.0,28.0,17.0,2314.0,5.0,11.0,7.0,741.0,4.0,31.0,11.0,1766.0,20,Manchester City,Premier League,right,175.0,Gabriel Jesus,Brazil,CF
13.0,46.0,11.0,2625.0,17.0,54.0,21.0,3418.0,12.0,52.0,25.0,4326.0,11.0,41.0,17.0,3289.0,19.0,51.0,30.0,4229.0,6.0,31.0,9.0,2464.0,29,Manchester United,Premier League,right,169.0,Alexis Sánchez,Chile,W
0.0,4.0,0.0,57.0,1.0,15.0,2.0,706.0,5.0,48.0,12.0,2560.0,11.0,56.0,18.0,4663.0,8.0,42.0,8.0,2517.0,10.0,38.0,11.0,1979.0,22,Manchester United,Premier League,right,183.0,Anthony Martial,France  Guadeloupe,W
7.0,27.0,4.0,1991.0,10.0,39.0,16.0,3295.0,2.0,18.0,2.0,938.0,4.0,41.0,7.0,2970.0,3.0,42.0,5.0,2208.0,5.0,37.0,13.0,1903.0,25,Manchester United,Premier League,right,174.0,Jesse Lingard,England,W
7.0,38.0,17.0,2250.0,8.0,36.0,16.0,2805.0,7.0,48.0,20.0,3762.0,7.0,46.0,25.0,4023.0,7.0,39.0,26.0,3447.0,8.0,42.0,23.0,3436.0,24,Manchester United,Premier League,left,191.0,Romelu Lukaku,Belgium  DR Congo,CF
,,,,,,,,0.0,1.0,1.0,90.0,2.0,31.0,12.0,2101.0,6.0,53.0,11.0,3068.0,8.0,40.0,12.0,2128.0,20,Manchester United,Premier League,right,185.0,Marcus Rashford,England,CF
17.0,46.0,35.0,4083.0,17.0,46.0,41.0,3750.0,8.0,37.0,30.0,3111.0,19.0,51.0,50.0,4146.0,10.0,46.0,28.0,3847.0,0.0,7.0,1.0,187.0,36,Manchester United,Premier League,both,195.0,Zlatan Ibrahimovic,Sweden  Bosnia-Herzegovina,CF
2.0,34.0,12.0,2786.0,7.0,43.0,12.0,3225.0,4.0,42.0,17.0,3181.0,5.0,42.0,8.0,2001.0,10.0,47.0,21.0,2972.0,9.0,43.0,18.0,2766.0,25,Tottenham Hotspur,Premier League,both,184.0,Heung-Min Son,"Korea, South",W
6.0,15.0,0.0,1068.0,17.0,53.0,5.0,2970.0,10.0,46.0,8.0,2882.0,5.0,56.0,13.0,3169.0,11.0,53.0,19.0,3478.0,3.0,11.0,2.0,264.0,25,Tottenham Hotspur,Premier League,right,174.0,Lucas,Brazil,W
6.0,36.0,15.0,2857.0,4.0,17.0,1.0,951.0,10.0,46.0,5.0,2919.0,10.0,44.0,11.0,3072.0,7.0,14.0,2.0,944.0,5.0,24.0,1.0,927.0,26,Tottenham Hotspur,Premier League,left,184.0,Érik Lamela,Argentina  Spain,W
6.0,27.0,5.0,1330.0,7.0,27.0,12.0,1465.0,6.0,51.0,31.0,3680.0,2.0,50.0,28.0,4027.0,7.0,38.0,35.0,3154.0,4.0,39.0,35.0,3222.0,24,Tottenham Hotspur,Premier League,right,188.0,Harry Kane,England,CF
3.0,36.0,5.0,1327.0,6.0,45.0,18.0,3097.0,4.0,45.0,9.0,2712.0,5.0,38.0,7.0,1695.0,1.0,35.0,15.0,2503.0,1.0,28.0,5.0,958.0,33,Tottenham Hotspur,Premier League,right,193.0,Fernando Llorente,Spain,CF
24.0,62.0,13.0,4523.0,10.0,49.0,17.0,3943.0,13.0,52.0,19.0,4441.0,8.0,43.0,6.0,3079.0,7.0,43.0,17.0,3373.0,11.0,40.0,15.0,2857.0,27,Chelsea FC,Premier League,both,173.0,Eden Hazard,Belgium,W
12.0,45.0,10.0,3415.0,13.0,54.0,19.0,3321.0,9.0,50.0,11.0,2199.0,3.0,43.0,9.0,2781.0,12.0,43.0,13.0,2723.0,5.0,38.0,6.0,2252.0,30,Chelsea FC,Premier League,both,167.0,Pedro,Spain,W
15.0,35.0,8.0,2660.0,10.0,46.0,4.0,3368.0,5.0,49.0,4.0,3258.0,10.0,49.0,11.0,3881.0,5.0,41.0,12.0,2026.0,10.0,44.0,13.0,2421.0,29,Chelsea FC,Premier League,right,175.0,Willian,Brazil,W
8.0,33.0,14.0,2196.0,2.0,34.0,9.0,969.0,7.0,46.0,15.0,2302.0,12.0,47.0,12.0,2377.0,6.0,43.0,20.0,1902.0,5.0,37.0,12.0,2249.0,25,Chelsea FC,Premier League,right,189.0,Álvaro Morata,Spain,CF
12.0,47.0,17.0,3201.0,12.0,51.0,22.0,4092.0,4.0,36.0,19.0,2379.0,6.0,53.0,24.0,3373.0,7.0,40.0,16.0,1780.0,3.0,32.0,8.0,1508.0,31,Chelsea FC,Premier League,left,192.0,Olivier Giroud,France,CF
10.0,30.0,19.0,2481.0,18.0,50.0,23.0,3903.0,9.0,40.0,13.0,2922.0,9.0,43.0,15.0,3116.0,8.0,29.0,13.0,2427.0,7.0,32.0,14.0,2501.0,25,Liverpool FC,Premier League,right,175.0,Sadio Mané,Senegal,W
,,,,,,,,,,,,0.0,2.0,0.0,170.0,6.0,24.0,9.0,1608.0,4.0,16.0,4.0,1365.0,18,Liverpool FC,Premier League,right,174.0,Ben Woodburn,Wales  England,W
11.0,50.0,10.0,2873.0,8.0,40.0,12.0,2624.0,6.0,34.0,9.0,2129.0,9.0,42.0,15.0,3402.0,15.0,41.0,19.0,3185.0,11.0,40.0,32.0,3165.0,25,Liverpool FC,Premier League,left,175.0,Mohamed Salah,Egypt,W
1.0,33.0,3.0,1716.0,8.0,45.0,26.0,3983.0,4.0,37.0,11.0,3122.0,0.0,9.0,3.0,537.0,0.0,6.0,4.0,409.0,2.0,16.0,1.0,799.0,25,Liverpool FC,Premier League,right,178.0,Danny Ings,England,CF
,,,,0.0,7.0,2.0,403.0,6.0,34.0,31.0,2787.0,1.0,27.0,7.0,1991.0,0.0,5.0,2.0,373.0,1.0,23.0,0.0,662.0,20,Liverpool FC,Premier League,right,186.0,Dominic Solanke,England  Nigeria,CF
,,,,1.0,17.0,1.0,1030.0,4.0,25.0,11.0,2079.0,5.0,34.0,6.0,2220.0,8.0,39.0,4.0,2354.0,5.0,30.0,2.0,2020.0,21,Arsenal FC,Premier League,right,183.0,Alex Iwobi,Nigeria  England,W
15.0,45.0,21.0,3850.0,5.0,48.0,16.0,2653.0,11.0,46.0,25.0,3813.0,12.0,49.0,39.0,3931.0,5.0,46.0,40.0,3959.0,4.0,30.0,24.0,2707.0,28,Arsenal FC,Premier League,right,187.0,Pierre-Emerick Aubameyang,Gabon  France,CF
10.0,37.0,4.0,2756.0,8.0,54.0,22.0,4409.0,8.0,40.0,31.0,3468.0,4.0,44.0,23.0,3743.0,5.0,45.0,37.0,3477.0,4.0,29.0,9.0,2037.0,26,Arsenal FC,Premier League,right,175.0,Alexandre Lacazette,France  Guadeloupe,CF
5.0,40.0,2.0,2162.0,6.0,36.0,10.0,2291.0,6.0,37.0,8.0,2517.0,2.0,16.0,5.0,818.0,4.0,22.0,5.0,1094.0,1.0,30.0,5.0,1604.0,27,Arsenal FC,Premier League,right,183.0,Danny Welbeck,England  Ghana,CF
8.0,48.0,3.0,3476.0,5.0,30.0,0.0,2128.0,11.0,35.0,4.0,2849.0,6.0,31.0,6.0,2464.0,4.0,16.0,1.0,1164.0,0.0,11.0,0.0,545.0,28,Everton FC,Premier League,both,185.0,Yannick Bolasie,DR Congo  England,W
16.0,43.0,21.0,2988.0,7.0,18.0,6.0,1203.0,1.0,22.0,7.0,795.0,7.0,42.0,9.0,2076.0,2.0,37.0,19.0,2495.0,6.0,23.0,6.0,1500.0,28,Everton FC,Premier League,both,175.0,Theo Walcott,England,W
9.0,35.0,11.0,2721.0,6.0,32.0,14.0,2767.0,0.0,28.0,9.0,1088.0,6.0,43.0,17.0,1466.0,4.0,47.0,24.0,3286.0,3.0,30.0,16.0,2081.0,26,Everton FC,Premier League,right,183.0,Cenk Tosun,Turkey  Germany,CF
,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,55.0,1.0,35.0,8.0,1587.0,2.0,21.0,5.0,1134.0,6.0,40.0,8.0,2286.0,20,Everton FC,Premier League,right,187.0,Dominic Calvert-Lewin,England,CF
,,,,7.0,40.0,15.0,3461.0,4.0,19.0,6.0,1111.0,10.0,30.0,13.0,1986.0,1.0,25.0,12.0,1596.0,4.0,22.0,11.0,1145.0,27,Everton FC,Premier League,right,182.0,Oumar Niasse,Senegal,CF
7.0,42.0,2.0,2455.0,6.0,39.0,1.0,2428.0,13.0,47.0,7.0,3332.0,2.0,37.0,6.0,2482.0,1.0,50.0,8.0,3648.0,3.0,28.0,0.0,1754.0,24,Southampton FC,Premier League,right,173.0,Nathan Redmond,England  Ireland,W
22.0,51.0,16.0,4342.0,14.0,34.0,16.0,3039.0,9.0,37.0,5.0,2555.0,14.0,40.0,9.0,2606.0,8.0,44.0,3.0,3107.0,3.0,31.0,4.0,2390.0,29,Southampton FC,Premier League,left,181.0,Dusan Tadic,Serbia,W
,,,,0.0,5.0,0.0,168.0,2.0,19.0,1.0,907.0,4.0,20.0,4.0,1359.0,6.0,30.0,6.0,2079.0,3.0,10.0,0.0,548.0,20,Southampton FC,Premier League,left,168.0,Josh Sims,England,W
2.0,31.0,7.0,1792.0,4.0,35.0,10.0,2818.0,3.0,45.0,20.0,2451.0,3.0,30.0,9.0,982.0,0.0,31.0,11.0,1588.0,0.0,28.0,4.0,1040.0,26,Southampton FC,Premier League,left,181.0,Manolo Gabbiadini,Italy,CF
3.0,40.0,27.0,3420.0,3.0,37.0,20.0,3050.0,7.0,36.0,18.0,3159.0,1.0,23.0,10.0,1348.0,1.0,22.0,9.0,1274.0,0.0,17.0,6.0,675.0,28,Southampton FC,Premier League,right,188.0,Charlie Austin,England,CF
5.0,37.0,11.0,2351.0,3.0,32.0,7.0,2421.0,7.0,41.0,7.0,2179.0,6.0,34.0,13.0,2374.0,4.0,45.0,5.0,2071.0,2.0,25.0,1.0,1383.0,31,Southampton FC,Premier League,both,180.0,Shane Long,Ireland,CF
0.0,28.0,4.0,1385.0,2.0,43.0,15.0,3414.0,4.0,37.0,16.0,2764.0,3.0,40.0,5.0,1871.0,5.0,31.0,8.0,1099.0,4.0,32.0,8.0,1330.0,26,Southampton FC,Premier League,right,191.0,Guido Carrillo,Argentina  Italy,CF
9.0,27.0,5.0,2020.0,12.0,38.0,5.0,2768.0,8.0,35.0,2.0,2389.0,6.0,40.0,12.0,3304.0,6.0,35.0,7.0,2966.0,5.0,27.0,7.0,1773.0,28,West Ham United,Premier League,both,193.0,Marko Arnautovic,Austria  Serbia,W
